tensor(-7.7050, dtype=torch.float64)
tensor(-12.7700, dtype=torch.float64)
tensor(-6.0100, dtype=torch.float64)
tensor(-5.0500, dtype=torch.float64)
tensor(-2.2350, dtype=torch.float64)
tensor(-1.6700, dtype=torch.float64)
tensor(-1.6700, dtype=torch.float64)
tensor(-2.1350, dtype=torch.float64)
tensor(-0.9100, dtype=torch.float64)
tensor(-1.4000, dtype=torch.float64)
tensor(-0.7150, dtype=torch.float64)
tensor(-12.7000, dtype=torch.float64)
tensor(-7.1450, dtype=torch.float64)
tensor(-7.7950, dtype=torch.float64)
tensor(-7.7950, dtype=torch.float64)
tensor(-5.8150, dtype=torch.float64)
tensor(-5.5450, dtype=torch.float64)
tensor(-5.5750, dtype=torch.float64)
tensor(-5.2100, dtype=torch.float64)
tensor(-1.5200, dtype=torch.float64)
tensor(-1.5200, dtype=torch.float64)
tensor(-105.9550, dtype=torch.float64)
tensor(-8.4100, dtype=torch.float64)
tensor(-6.4450, dtype=torch.float64)
tensor(-9.3650, dtype=torch.float64)
tensor(-4.5700, dtype=torch.float64)
tensor(-4.5700, dtype=torch.float64)
tensor(-104.1800, dtype=torch.float64)
tensor(-6.8900, dtype=torch.float64)
tensor(-4.1750, dtype=torch.float64)
tensor(-4.1750, dtype=torch.float64)
tensor(-8.2400, dtype=torch.float64)
tensor(-5.6350, dtype=torch.float64)
tensor(-4.9300, dtype=torch.float64)
tensor(-4.9600, dtype=torch.float64)
tensor(-6.5850, dtype=torch.float64)
tensor(-5.6600, dtype=torch.float64)
tensor(-5.6600, dtype=torch.float64)
tensor(-5.2150, dtype=torch.float64)
tensor(-5.0650, dtype=torch.float64)
tensor(-7.1100, dtype=torch.float64)
tensor(-3.7900, dtype=torch.float64)
tensor(-4.1950, dtype=torch.float64)
