tensor(-80.0500, dtype=torch.float64)
tensor(-73.5652, dtype=torch.float64)
tensor(-88.5588, dtype=torch.float64)
tensor(-70.4500, dtype=torch.float64)
tensor(-68.8200, dtype=torch.float64)
tensor(-74.3750, dtype=torch.float64)
tensor(-80.0714, dtype=torch.float64)
tensor(-67.5000, dtype=torch.float64)
tensor(-67.0500, dtype=torch.float64)
tensor(-77.6765, dtype=torch.float64)
tensor(-77.2222, dtype=torch.float64)
tensor(-60.7500, dtype=torch.float64)
tensor(-71.7500, dtype=torch.float64)
tensor(-70.9211, dtype=torch.float64)
tensor(-66.7353, dtype=torch.float64)
tensor(-64.4333, dtype=torch.float64)
tensor(-68.6042, dtype=torch.float64)
tensor(-69.3000, dtype=torch.float64)
tensor(-67.2045, dtype=torch.float64)
tensor(-65.4348, dtype=torch.float64)
tensor(-71.5556, dtype=torch.float64)
tensor(-64.1923, dtype=torch.float64)
tensor(-65.5625, dtype=torch.float64)
tensor(-61.5000, dtype=torch.float64)
tensor(-66.7083, dtype=torch.float64)
tensor(-63.6000, dtype=torch.float64)
tensor(-64.7812, dtype=torch.float64)
tensor(-64., dtype=torch.float64)
tensor(-66., dtype=torch.float64)
tensor(-60.9722, dtype=torch.float64)
tensor(-66.5556, dtype=torch.float64)
tensor(-63.7000, dtype=torch.float64)
tensor(-54.8500, dtype=torch.float64)
tensor(-60.9474, dtype=torch.float64)
tensor(-60.5000, dtype=torch.float64)
tensor(-58.7000, dtype=torch.float64)
tensor(-69.2500, dtype=torch.float64)
tensor(-54.0938, dtype=torch.float64)
tensor(-58., dtype=torch.float64)
tensor(-55.6136, dtype=torch.float64)
tensor(-56.9583, dtype=torch.float64)
tensor(-59.7500, dtype=torch.float64)
tensor(-47.5417, dtype=torch.float64)
tensor(-46.5750, dtype=torch.float64)
tensor(-53.4412, dtype=torch.float64)
tensor(-56.0588, dtype=torch.float64)
tensor(-44.2000, dtype=torch.float64)
tensor(-51.9500, dtype=torch.float64)
tensor(-46.5000, dtype=torch.float64)
tensor(-53.3333, dtype=torch.float64)
tensor(-51.9524, dtype=torch.float64)
tensor(-48.0682, dtype=torch.float64)
tensor(-56.0769, dtype=torch.float64)
tensor(-50.3250, dtype=torch.float64)
tensor(-54., dtype=torch.float64)
tensor(-52.4412, dtype=torch.float64)
tensor(-48.0526, dtype=torch.float64)
tensor(-48.6429, dtype=torch.float64)
tensor(-44.7857, dtype=torch.float64)
tensor(-45.8000, dtype=torch.float64)
tensor(-41.0588, dtype=torch.float64)
tensor(-49.5000, dtype=torch.float64)
tensor(-45.7955, dtype=torch.float64)
tensor(-45.8000, dtype=torch.float64)
tensor(-42.3958, dtype=torch.float64)
tensor(-38.6786, dtype=torch.float64)
tensor(-44.8182, dtype=torch.float64)
tensor(-44.2500, dtype=torch.float64)
tensor(-40.2368, dtype=torch.float64)
tensor(-44.3200, dtype=torch.float64)
tensor(-43., dtype=torch.float64)
tensor(-43.0769, dtype=torch.float64)
tensor(-45.2000, dtype=torch.float64)
tensor(-39.8409, dtype=torch.float64)
tensor(-39.9792, dtype=torch.float64)
tensor(-48.0476, dtype=torch.float64)
tensor(-44., dtype=torch.float64)
tensor(-41.9545, dtype=torch.float64)
tensor(-44.0938, dtype=torch.float64)
tensor(-42.5208, dtype=torch.float64)
tensor(-35.2059, dtype=torch.float64)
tensor(-38.5500, dtype=torch.float64)
tensor(-35.9565, dtype=torch.float64)
tensor(-42.1944, dtype=torch.float64)
tensor(-38.2812, dtype=torch.float64)
tensor(-34.7812, dtype=torch.float64)
tensor(-35.5938, dtype=torch.float64)
tensor(-39.3056, dtype=torch.float64)
tensor(-36.3500, dtype=torch.float64)
tensor(-32.4474, dtype=torch.float64)
tensor(-40.2000, dtype=torch.float64)
tensor(-35.2391, dtype=torch.float64)
tensor(-32.7727, dtype=torch.float64)
tensor(-30.2368, dtype=torch.float64)
tensor(-34.5417, dtype=torch.float64)
tensor(-28.6000, dtype=torch.float64)
tensor(-34.6087, dtype=torch.float64)
tensor(-31.0294, dtype=torch.float64)
tensor(-34.2000, dtype=torch.float64)
tensor(-37.2941, dtype=torch.float64)
tensor(-30.1333, dtype=torch.float64)
tensor(-31.8056, dtype=torch.float64)
tensor(-28.1071, dtype=torch.float64)
tensor(-29.3810, dtype=torch.float64)
tensor(-37.3846, dtype=torch.float64)
tensor(-31.4444, dtype=torch.float64)
tensor(-26.5000, dtype=torch.float64)
tensor(-31.2400, dtype=torch.float64)
tensor(-35.5417, dtype=torch.float64)
tensor(-34.4706, dtype=torch.float64)
tensor(-34.0217, dtype=torch.float64)
tensor(-29.9565, dtype=torch.float64)
tensor(-32.8182, dtype=torch.float64)
tensor(-31.2632, dtype=torch.float64)
tensor(-30.3095, dtype=torch.float64)
tensor(-30.9250, dtype=torch.float64)
tensor(-26.8889, dtype=torch.float64)
tensor(-32.8409, dtype=torch.float64)
tensor(-26.8750, dtype=torch.float64)
tensor(-25.6000, dtype=torch.float64)
tensor(-28.3750, dtype=torch.float64)
tensor(-23.6944, dtype=torch.float64)
tensor(-26.5926, dtype=torch.float64)
tensor(-25.9737, dtype=torch.float64)
tensor(-25.7500, dtype=torch.float64)
tensor(-29.8478, dtype=torch.float64)
tensor(-30.2632, dtype=torch.float64)
tensor(-28.1765, dtype=torch.float64)
tensor(-22.6562, dtype=torch.float64)
tensor(-25.5952, dtype=torch.float64)
tensor(-17.6136, dtype=torch.float64)
tensor(-28.5000, dtype=torch.float64)
tensor(-22.1316, dtype=torch.float64)
tensor(-22.5333, dtype=torch.float64)
tensor(-23.1389, dtype=torch.float64)
tensor(-22.7692, dtype=torch.float64)
tensor(-24.5938, dtype=torch.float64)
tensor(-23.4412, dtype=torch.float64)
tensor(-25.8182, dtype=torch.float64)
tensor(-23.2083, dtype=torch.float64)
tensor(-22.4583, dtype=torch.float64)
tensor(-21.9643, dtype=torch.float64)
tensor(-24.3864, dtype=torch.float64)
tensor(-22.9062, dtype=torch.float64)
tensor(-21.7500, dtype=torch.float64)
tensor(-17.2321, dtype=torch.float64)
tensor(-17.5667, dtype=torch.float64)
tensor(-19.7143, dtype=torch.float64)
tensor(-15.7368, dtype=torch.float64)
tensor(-16.5645, dtype=torch.float64)
tensor(-19.4792, dtype=torch.float64)
tensor(-19.8409, dtype=torch.float64)
tensor(-16.8333, dtype=torch.float64)
tensor(-13.0690, dtype=torch.float64)
tensor(-15.6364, dtype=torch.float64)
tensor(-17.5000, dtype=torch.float64)
tensor(-20.2632, dtype=torch.float64)
tensor(-19.4500, dtype=torch.float64)
tensor(-20.3421, dtype=torch.float64)
tensor(-17.4348, dtype=torch.float64)
tensor(-17.2000, dtype=torch.float64)
tensor(-16.9706, dtype=torch.float64)
tensor(-16.8750, dtype=torch.float64)
tensor(-17.7222, dtype=torch.float64)
tensor(-17.7941, dtype=torch.float64)
tensor(-18.9667, dtype=torch.float64)
tensor(-17.0938, dtype=torch.float64)
tensor(-16.7381, dtype=torch.float64)
tensor(-17.1765, dtype=torch.float64)
tensor(-18.3056, dtype=torch.float64)
tensor(-16.1154, dtype=torch.float64)
tensor(-15.8095, dtype=torch.float64)
tensor(-12.8667, dtype=torch.float64)
tensor(-14.2273, dtype=torch.float64)
tensor(-13.8929, dtype=torch.float64)
tensor(-15.1250, dtype=torch.float64)
tensor(-13.3636, dtype=torch.float64)
tensor(-14.3269, dtype=torch.float64)
tensor(-15.4062, dtype=torch.float64)
tensor(-12.8000, dtype=torch.float64)
tensor(-12.4000, dtype=torch.float64)
tensor(-13.9000, dtype=torch.float64)
tensor(-12.8125, dtype=torch.float64)
tensor(-16.1000, dtype=torch.float64)
tensor(-13.2000, dtype=torch.float64)
tensor(-14.4167, dtype=torch.float64)
tensor(-13.6000, dtype=torch.float64)
tensor(-14.4062, dtype=torch.float64)
tensor(-10.9706, dtype=torch.float64)
tensor(-11.7632, dtype=torch.float64)
tensor(-11.0833, dtype=torch.float64)
tensor(-13.0789, dtype=torch.float64)
tensor(-14., dtype=torch.float64)
tensor(-10.5000, dtype=torch.float64)
tensor(-11.3095, dtype=torch.float64)
tensor(-10.2250, dtype=torch.float64)
